Date,Open,High,Low,Close,Volume
2006-09-11,91300,91400,89100,89800,254329
2006-09-12,89800,90900,88800,89000,237033
2006-09-13,89500,91000,88500,89200,272543
2006-09-14,89400,90200,89000,89700,721823
2006-09-15,90200,91900,90200,91500,306325
2006-09-18,92900,93500,92400,93000,375071
2006-09-19,92700,94000,92500,94000,323823
2006-09-20,93000,95400,92800,95000,304425
2006-09-21,95500,98300,93900,95000,501867
2006-09-22,93900,95900,92300,92500,1267807
2006-09-25,93000,94700,92600,94700,192283
2006-09-26,95100,95700,93000,94000,92598
2006-09-27,95000,96700,94900,96000,250948
2006-09-28,96100,97500,95500,97500,246607
2006-09-29,98000,98700,97300,97300,367921
2006-10-02,96900,99800,96400,99000,273306
2006-10-04,98800,99900,97400,97600,375548
2006-10-09,96000,96500,91000,94500,551484
2006-10-10,95000,96500,94600,95600,176775
2006-10-11,95600,97000,92900,94700,279979
2006-10-12,94700,94900,92700,93800,421069
2006-10-13,94500,95400,93500,94300,418797
2006-10-16,94400,94500,92100,92500,382438
2006-10-17,92500,92500,90600,90900,291871
2006-10-18,91100,91700,90300,91400,409299
2006-10-19,92100,94200,92000,93700,408795
2006-10-20,93200,94500,93000,93900,322357
2006-10-23,94200,95000,90900,91000,371921
2006-10-24,91700,92300,91000,91700,245966
2006-10-25,92000,94700,91700,94700,320506
2006-10-26,94300,95000,93600,94000,274716
2006-10-27,94000,94000,91200,92600,265022
2006-10-30,91900,93400,91700,92600,163097
2006-10-31,92600,92800,91900,92000,164741
2006-11-01,92100,92500,91300,92000,176936
2006-11-02,92000,93100,91300,92700,205942
2006-11-03,92500,92900,90300,91300,253537
2006-11-06,90600,90800,87300,88400,491494
2006-11-07,88400,89000,86300,87500,449347
2006-11-08,88000,88500,87200,87800,307594
2006-11-09,88400,89500,88000,89000,423145
2006-11-10,89000,89800,88700,89400,223036
2006-11-13,89500,89700,88300,89500,162144
2006-11-14,89900,90000,89400,89500,211563
2006-11-15,89600,90100,88600,89200,189523
2006-11-16,89000,89000,87000,87400,268483
2006-11-17,88200,88200,86700,87100,211914
2006-11-20,86800,87100,83900,84200,621216
2006-11-21,83700,84400,81000,84400,829875
2006-11-22,84400,85400,83600,83600,393301
2006-11-23,82600,83400,81800,82300,331680
2006-11-24,83500,84300,83100,83800,603609
2006-11-27,85500,87700,84800,87700,726740
2006-11-28,85500,86700,85400,86000,442061
2006-11-29,86500,86900,85400,86500,357820
2006-11-30,86000,86900,85400,86300,376677
2006-12-01,86100,88600,85200,88600,519312
2006-12-04,88000,89500,86800,88700,263353
2006-12-05,88500,89500,87500,88100,177432
2006-12-06,88100,88100,84300,84600,404276
2006-12-07,84100,85700,83200,83700,370988
2006-12-08,82900,84300,82300,84300,323168
2006-12-11,83300,83900,82600,83200,342764
2006-12-12,82500,83900,82500,83400,270872
2006-12-13,83200,85800,83200,85400,379362
2006-12-14,86100,87800,84600,87800,498587
2006-12-15,87100,88600,86300,88600,406976
2006-12-18,88600,88600,87200,88600,291147
2006-12-19,87700,89000,87300,89000,421935
2006-12-20,89000,89500,88300,89000,271387
2006-12-21,88600,89300,87700,88800,255764
2006-12-22,88800,88800,85500,86000,435882
2006-12-26,85600,86800,84400,86800,247539
2006-12-27,86100,87300,85300,85300,177277
2006-12-28,86100,86500,84500,85900,183065
2007-01-02,86100,88000,85700,86700,213351
2007-01-03,86700,87700,85100,85400,178672
2007-01-04,85200,85900,82800,83400,367657
2007-01-05,83100,84200,81500,82700,287216
2007-01-08,81700,83500,79700,83500,312107
2007-01-09,82500,82500,80300,80500,530001
2007-01-10,80100,80200,76400,77800,1023158
2007-01-11,78000,78700,77700,78000,301101
2007-01-12,78200,79500,78200,78800,403712
2007-01-15,79000,79300,78400,78600,242901
2007-01-16,79300,79900,78500,79100,469922
2007-01-17,79100,79800,77500,77800,408665
2007-01-18,78400,80500,78300,79600,570104
2007-01-19,79000,80000,78000,79600,217840
2007-01-22,81100,81100,78300,78800,226697
2007-01-23,78500,79900,77800,78400,320128
2007-01-24,78400,79500,77800,78500,329940
2007-01-25,79100,79400,78600,79400,259636
2007-01-26,78000,78800,76600,76600,605571
2007-01-29,76600,77100,75600,76200,482128
2007-01-30,76000,76700,75600,76000,214876
2007-01-31,75700,77300,75700,76300,436426
2007-02-01,77000,77300,76500,76900,428770
2007-02-02,77100,78200,76900,77800,992361
2007-02-05,77900,78200,75900,77300,537472
2007-02-06,77300,78600,76300,78100,291665
2007-02-07,78000,80500,77700,79100,484739
2007-02-08,79500,80900,79500,80000,418834
2007-02-09,80300,80300,79500,79800,302516
2007-02-12,78400,78500,76700,78300,549733
2007-02-13,77500,78000,76400,76900,600302
2007-02-14,77000,78000,77000,77200,397723
2007-02-15,78000,78200,76800,77200,408177
2007-02-16,78700,80400,77600,80000,1493664
2007-02-20,81000,83000,80400,83000,1010600
2007-02-21,83500,84100,83300,83600,654742
2007-02-22,83600,83600,81800,82500,636967
2007-02-23,82400,82900,81600,82000,412532
2007-02-26,81600,82200,80600,82200,304527
2007-02-27,81500,81700,78800,80000,1035606
2007-02-28,77000,78000,76500,78000,665557
2007-03-02,77300,79100,77300,77800,519239
2007-03-05,77500,78600,77300,77600,458079
2007-03-06,77500,78300,77400,78100,614248
2007-03-07,78700,80000,78500,79100,557987
2007-03-08,78700,80600,78300,79900,495600
2007-03-09,79900,80400,79400,79700,420478
2007-03-12,80000,82000,79900,82000,502420
2007-03-13,81700,81800,80100,80300,366481
2007-03-14,79500,79900,78300,79900,523165
2007-03-15,79100,79900,79100,79900,292161
2007-03-16,80200,80200,79300,79900,157258
2007-03-19,79500,79800,79100,79700,217055
2007-03-20,79700,79800,77800,78000,573167
2007-03-21,77600,78200,77300,77400,439028
2007-03-22,77900,78200,76600,76800,711719
2007-03-23,76800,78200,76800,77500,672440
2007-03-26,77900,78200,77200,77500,318357
2007-03-27,78300,78800,77400,77400,503291
2007-03-28,78000,79900,77800,79400,736370
2007-03-29,79400,81500,78900,81000,641626
2007-03-30,80500,81000,79700,80800,408330
